question,document
"Why does BigQuery fail with ""could not parse 'pickup_datetime' as timestamp"" when I load from an external table into a normal table?",1724e08426
How can I deal with bad timestamp values in a GCS file if I still want to move the data into a BigQuery table?,1724e08426
"Should I define the timestamp column as STRING in the external table first, and then cast it later when inserting into the final table?",1724e08426
What’s the best way to filter out invalid rows before appending data from an external table into a materialized table in BigQuery?,1724e08426
"Is the timestamp parsing error caused by the schema of the external table, or by some rows in the source file being malformed?",1724e08426
Why does BigQuery throw the error about a timestamp being valid but needing TimestampType(MICROS) or TimestampType(MILLIS)?,c2a18da218
How do I fix the BigQuery timestamp error when loading a Parquet file from PyArrow?,c2a18da218
Is there a way to write Parquet timestamps so BigQuery accepts them without the annotated timestamp issue?,c2a18da218
What option should I add to pq.write_to_dataset to make Parquet timestamps compatible with BigQuery?,c2a18da218
Do I need to change the Parquet timestamp format if BigQuery complains about annotated timestamps?,c2a18da218
Why do my datetime columns from a Pandas DataFrame end up as integer fields in BigQuery after I load a Parquet file?,a83247e572
What should I do so BigQuery reads my Parquet timestamp columns as TIMESTAMP instead of INT64?,a83247e572
How can I make PyArrow write Pandas datetime values with the right logical type for BigQuery?,a83247e572
Is there a way to force the schema when converting a Pandas DataFrame to Parquet so BigQuery won’t guess the wrong type?,a83247e572
"Can I fix this timestamp-to-integer issue in a data export task inside an orchestrator, or does it only work in a standalone script?",a83247e572
How do I create a BigQuery external table from Python using files in Cloud Storage?,7c97a61529
What’s the Python way to point BigQuery to a Parquet folder on GCS and make it an external table?,7c97a61529
Do I need to use ExternalConfig and autodetect when creating a BigQuery external table in Python?,7c97a61529
How can I set up the source_uris for a BigQuery external table if my data is in a gs:// bucket path?,7c97a61529
What does the code for creating a BigQuery table with external_data_configuration look like in Python?,7c97a61529
How can I tell if a BigQuery table already exists before I try to create it in Python?,88f2fb38b0
Is there a simple way to check a BigQuery table ID and return True or False if the table is there?,88f2fb38b0
What’s the best way to avoid errors when creating a BigQuery table if the table might already exist?,88f2fb38b0
Can I use the BigQuery Python client to look up a table first and then decide whether to create it or not?,88f2fb38b0
What function should I write in Python to test whether a BigQuery table exists before doing anything else?,88f2fb38b0
How can I fix the BigQuery error about a missing closing double quote when loading CSV data from GCS?,21e010f826
What's the right bq load command to avoid the missing quote character error in BigQuery?,21e010f826
Do I need any special flags in bq load for CSV files with quoted newlines in BigQuery?,21e010f826
How do I load gzipped CSV files from Google Cloud Storage into BigQuery without that quote error?,21e010f826
Is there a BigQuery Cloud Shell command that works for loading the fhv_tripdata_2019 CSV files from gs://?,21e010f826
How can I load csv.gz files from GitHub straight into BigQuery using a Cloud Function?,7cbadfe131
What does the Python Cloud Function look like for importing monthly NYC TLC data into BigQuery?,7cbadfe131
"How do I set up the table ID, schema, and write mode when loading compressed CSV files with BigQuery?",7cbadfe131
Why is a temporary file needed before calling load_table_from_file on the GitHub download?,7cbadfe131
How can I automate loading multiple months of data from GitHub into one BigQuery table with Cloud Functions?,7cbadfe131
Why do I get the same result when I query an external table and a materialized table in BigQuery with count(distinct(*))?,8bfd81c403
Could BigQuery cache be causing two different tables to return the same count(distinct(*)) result?,8bfd81c403
How do I make BigQuery show the real result instead of a cached one when comparing external vs materialized tables?,8bfd81c403
Do I need to change any query settings in BigQuery if two tables give identical results but they shouldn’t?,8bfd81c403
What should I turn off in BigQuery so cached results don’t affect queries on external and materialized tables?,8bfd81c403
Why do I get a Parquet type mismatch in BigQuery for `DOlocationID` or `PUlocationID` when the file came from Pandas?,66d3c42dd4
What’s the best way to keep `PUlocationID` and `DOlocationID` from turning into floats before writing Parquet to GCS?,66d3c42dd4
How should I fix BigQuery errors that say a Parquet column is `INT64` but the target type is `DOUBLE`?,66d3c42dd4
Is there a Pandas dtype that works for columns with both nulls and whole numbers in my ETL?,66d3c42dd4
"Should I set column types before loading to BigQuery, and if so, where in the pipeline should I do it?",66d3c42dd4
"Why am I getting an ""Invalid project ID"" error in BigQuery even though my project exists?",625c1f542a
"What usually causes the BigQuery message that project IDs must be 6-63 lowercase letters, digits, or dashes?",625c1f542a
Could extra spaces or weird symbols after the FROM clause trigger a project ID error in BQ?,625c1f542a
How do I fix the BigQuery invalid project ID issue in my SQL query?,625c1f542a
Is this error more about my SQL syntax than the actual GCP project name?,625c1f542a
"Can I partition a BigQuery table by two columns, or is it limited to just one partition field?",45b587e597
How many clustering columns does BigQuery allow on a single table?,45b587e597
"What is the current max number of partitions per BigQuery table, since I’ve seen both 4,000 and 10,000 mentioned?",45b587e597
"If one load or query job runs against a partitioned table, how many partitions can it modify at once?",45b587e597
"For time partitions in BigQuery, how far do daily, hourly, and monthly partitions usually go before hitting the limit?",45b587e597
How can I get the create statement for a BigQuery table from the dataset metadata?,7df3102580
Is there a way to see the DDL for a native table in BigQuery without manually rebuilding it?,7df3102580
What query should I run to inspect a table's schema and table definition in BigQuery?,7df3102580
"Can BigQuery show me the SQL needed to recreate an external table, including the file path?",7df3102580
Where do I look in BigQuery if I want the full DDL for a specific table name?,7df3102580
"Why does BigQuery complain when I use DATE() in PARTITION BY, and what format does it actually want there?",49b5277d77
I’m getting the error about PARTITION BY expression must be DATE(timestamp) or TIMESTAMP_TRUNC... — how do I fix it for my pickup_datetime column?,49b5277d77
Do I need to convert my datetime fields in pandas before loading to BigQuery so partitioning works?,49b5277d77
What’s the right way to handle pickup_datetime and dropOff_datetime if BigQuery rejects my partition expression?,49b5277d77
How do I avoid the BigQuery DATE() partitioning error when creating a table from my dataframe?,49b5277d77
"Why does BigQuery complain that CLUSTER BY only accepts column names when I try DATE(tpep_pickup_datetime), and what should I do instead?",8248dd9d7f
"Can I cluster a BigQuery table directly on a TIMESTAMP column, or do I have to convert it to DATE first?",8248dd9d7f
"What data types are allowed for clustering in BigQuery, and is TIMESTAMP one of them?",8248dd9d7f
"If I want faster queries on pickup times, should I partition by DATE and cluster by the timestamp column?",8248dd9d7f
What’s the difference between partitioning on DATE(event_time) and clustering on tpep_pickup_datetime in BigQuery?,8248dd9d7f
What’s the real difference between a BigQuery native table and an external one?,16b4ae94ef
How do I make an external table in BigQuery from Parquet files stored in GCS?,16b4ae94ef
"If I already have an external table, how can I turn it into a regular BigQuery table?",16b4ae94ef
Can BigQuery create an external table straight from a public URL like a city dataset page?,16b4ae94ef
Why would I pick an external table instead of loading the files into BigQuery storage?,16b4ae94ef
Why does BigQuery sometimes show my table as not partitioned even after I created it as a partitioned table?,24c64415c0
Could the BigQuery UI just be lagging behind when I check whether a table is partitioned?,24c64415c0
What should I do if the table details in BigQuery still say non-partitioned right after I made it partitioned?,24c64415c0
How can I verify my partitioned table in BigQuery if the UI doesn’t update immediately?,24c64415c0
Is there usually a delay before BigQuery shows partitioning info correctly in the table view?,24c64415c0
"Why am I getting ""Dataset was not found in location US"" when I try to export a BigQuery ML model to GCS from Week 3?",155949a31a
"I ran the bq extract command for my BQ ML model, but it fails even though my dataset and bucket are both in us-west1. What am I missing?",155949a31a
How do I fix the BigQuery error that shows up when exporting an ML model to a Google Cloud Storage folder?,155949a31a
Is there a specific format I need to use for the GCS path when exporting a BigQuery ML model?,155949a31a
"In the Week 3 demo, the model export command worked, but mine says the dataset is in US. Could this be a wrong project ID or bucket path issue?",155949a31a
I'm on a MacBook with an M1 chip and the ML export/prediction step in BigQuery doesn't work. What should I change so the model runs?,47f7c8310a
"For Apple Silicon, is there a different TensorFlow Serving Docker image I should pull instead of the default one?",47f7c8310a
How do I set up the local `serving_dir` and run the container so I can get predictions on macOS ARM?,47f7c8310a
"After following the model export steps, what `docker run` command should I use on an M1 Mac?",47f7c8310a
Is there any Docker Desktop option for Apple Silicon that can fix the serving problem without switching images?,47f7c8310a
"In the homework, what exactly does ""stop with loading the files into a bucket"" mean?",a9c1fd2a8f
"Do we need to do any extra processing after putting the files in the bucket, like cleaning them or converting them to Parquet?",a9c1fd2a8f
"Should I only upload the raw files and then make an external table from them, or is there more to it?",a9c1fd2a8f
Is the assignment expecting us to transform the data before creating the table in the warehouse?,a9c1fd2a8f
What is the minimum thing we need to do for this task after loading the files into the bucket?,a9c1fd2a8f
Why do I get an out-of-bounds error when I load NYC parquet files straight into pandas from nyc.gov?,5e0cffbc79
"What is causing the timestamp cast error in that parquet dataset, and is there a bad date in it?",5e0cffbc79
How can I read the parquet with pyarrow first so pandas doesn’t fail on the weird datetime row?,5e0cffbc79
Is there a way to load just the datetime columns separately and skip the out-of-range value?,5e0cffbc79
How do I filter out the bad record before converting the parquet table to a pandas DataFrame?,5e0cffbc79
How do I upload homework files to GCS using the web UI instead of command line?,5f072b1cc7
Is there a way to send multiple files to a GCS bucket at once through the interface?,5f072b1cc7
Can I upload a whole folder to GCS from the GUI for this homework?,5f072b1cc7
Will downloading the files locally first help me avoid schema problems when uploading to GCS?,5f072b1cc7
Where in GCS do I click to upload files to the exact path I need for the homework?,5f072b1cc7
Why am I getting the wrong prediction for the partitioned or clustered table in homework Q5?,c46378ea2a
What should I check if my answer for Q5 about the table prediction doesn't match?,c46378ea2a
Is there something about the date format in the question that could affect the result for the partitioned/clustered table?,c46378ea2a
My prediction for the clustered table in Module 3 homework Q5 is off — what am I missing?,c46378ea2a
How can the date formatting in the prompt change the expected answer for Q5?,c46378ea2a
"For Module 3 homework Q6, is it normal if my result doesn’t match any option exactly?",53e0e2f585
"If my answer is only close to one of the choices in Q6, should I still pick that option?",53e0e2f585
Did anyone else get no exact match for Homework Question 6 in Data Warehousing?,53e0e2f585
What should I do in Module 3 Q6 when my number is very close but not identical to an answer choice?,53e0e2f585
"Are we supposed to find an exact value for homework Q6, or just choose the nearest option?",53e0e2f585
Why does picking fewer columns make BigQuery scan less data?,f9b7353f28
How does columnar storage affect the bytes read in a query?,f9b7353f28
"If I select only a couple of columns, why is the query cheaper in BigQuery?",f9b7353f28
Why are only the referenced columns read during query execution?,f9b7353f28
Does using SELECT * always cost more than selecting specific columns in BigQuery?,f9b7353f28
How can I hook up BigQuery to Looker Studio and start making dashboards?,ff76cb35fb
What’s the usual way to connect Tableau Desktop to a BigQuery dataset?,ff76cb35fb
Do I need to create a view in BigQuery before using it with BI tools?,ff76cb35fb
"For Tableau, should I use live connection or extracts when the data is really big?",ff76cb35fb
What permissions do I need in GCP so a BI tool can read from BigQuery?,ff76cb35fb
I'm getting a UnicodeDecodeError with 'utf-8' and an invalid start byte while loading a CSV in pandas. How do I fix it?,55b6d6256f
"Why does pd.read_csv fail on some files from the web with a byte like 0xa0, and what encoding should I use instead?",55b6d6256f
"When exporting a dataframe to GCS as a gzip CSV, do I need to set an encoding in to_csv?",55b6d6256f
Is there a better way to avoid this invalid start byte issue than using CSV files?,55b6d6256f
What pandas settings should I use when reading a dataset from a URL and then saving it locally or to GCS without encoding errors?,55b6d6256f
"What exactly is a Python generator, and how is it different from a normal function?",0f2a26772e
How does the `yield` keyword make a function act like an iterator?,0f2a26772e
Why are generators considered more memory-efficient than lists or tuples?,0f2a26772e
When should I use a generator instead of building the whole collection in memory?,0f2a26772e
Can you explain how generators produce values one by one while iterating?,0f2a26772e
How can I load several parquet files at once in Python instead of one by one?,577dfed594
Is there a way to pass a list of files to `read_parquet` and get one combined table?,577dfed594
What’s the easiest method for reading multiple parquet files together in Python?,577dfed594
"Can `read_parquet` handle more than one file at a time, and will it merge them?",577dfed594
How do I combine a bunch of parquet files into a single dataframe without looping through them?,577dfed594
"Why doesn't `pd.to_numeric(..., downcast=integer)` work for `DOlocationID` in Python?",c58d3563a6
Can I just use `df['DOlocationID'].astype(int)` instead of `Int64`?,c58d3563a6
What is the right pandas type to use for `DOlocationID` here?,c58d3563a6
Why do I need `astype('Int64')` and not regular `int` for this column?,c58d3563a6
How should I convert `DOlocationID` in pandas so it works correctly?,c58d3563a6
How do I check BigQuery query costs for the last 60 days and see which account ran each query?,e5905a92e2
What’s the easiest way to estimate my BigQuery spend from query jobs over a date range?,e5905a92e2
Can I use INFORMATION_SCHEMA to find who executed expensive BigQuery queries and when they ran?,e5905a92e2
How do I group BigQuery job cost by day and user_email instead of just looking at total spend?,e5905a92e2
Is there a query to sum billed bytes in BigQuery and convert it to an estimated USD cost?,e5905a92e2
How do I choose the best column to partition a BigQuery table for faster WHERE filters?,e6c806f5fe
"Can BigQuery partition on more than one column, or is it only one partition key per table?",e6c806f5fe
"What’s the difference between partitioning and clustering in BigQuery, and when should I use each?",e6c806f5fe
How do I create a BigQuery table partitioned by date and clustered by another field?,e6c806f5fe
"If I filter on VendorID but the table is partitioned by date, why does BigQuery still scan a lot of data?",e6c806f5fe
"How does BigQuery handle permissions for datasets and tables, and what are the main role options?",0882fc44fa
"What’s the difference between read-only, query/edit, and full admin access in BigQuery?",0882fc44fa
How can I give people access to query results in BigQuery without exposing the raw tables underneath?,0882fc44fa
Is there a way to hide only some columns from certain users in BigQuery?,0882fc44fa
How do I check who ran queries in BigQuery and see how much data they processed?,0882fc44fa
"Why is COUNT(*) on a native BigQuery table showing 0 bytes processed, even though it returns the row count?",01dcc4425b
What changes in BigQuery when I add a WHERE clause to COUNT(*) that makes it scan data and cost bytes?,01dcc4425b
Why do external tables in GCS not get the same free COUNT(*) behavior as native BigQuery tables?,01dcc4425b
How does BigQuery know the total number of rows for a standard table without reading the actual data blocks?,01dcc4425b
"If the query UI shows 0 B before running on an external table, why can the final processed bytes still be charged after execution?",01dcc4425b
Why do I see weird years in `lpep_pickup_datetime` after loading the taxi data into BigQuery?,52e74f0053
Could BigQuery have messed up my timestamp column when I loaded the CSV?,52e74f0053
What usually causes bad date values in `lpep_pickup_datetime` after a reload?,52e74f0053
How can I check if my BigQuery taxi table got corrupted during loading?,52e74f0053
Should I reload the table with Parquet instead of CSV if the pickup datetime looks wrong?,52e74f0053
"How do I move PostgreSQL tables into BigQuery for analytics, like a simple sync flow?",917b0b0fb5
"What’s the easiest way to pull data from Postgres, turn it into a DataFrame, and load it into a BigQuery table?",917b0b0fb5
Do I need a service account and an existing dataset before I can upload a pandas DataFrame to BigQuery?,917b0b0fb5
What Python code do I use with the BigQuery client to send a DataFrame into a table?,917b0b0fb5
Why does my BigQuery load/query fail if the dataset location doesn’t match US or EU?,917b0b0fb5
"How should I organize the raw, clean, dq, analytics, and mart layers in a batch data warehouse pipeline?",a198f6959c
What’s the right order for the different warehouse layers from ingested data to final business metrics?,a198f6959c
"How do I separate validation, cleansing, and analytics steps when building a data warehouse in PostgreSQL or BigQuery?",a198f6959c
"Why do people use separate raw, clean, dq, analytics, and mart stages in a warehouse pipeline?",a198f6959c
"Can someone explain a good layered warehouse setup for batch processing, from raw data all the way to marts?",a198f6959c
When is partitioning the better choice compared to clustering in a data warehouse?,46d95787b3
Should I use clustering instead of partitioning if my queries filter on IDs or other low-cardinality columns?,46d95787b3
"If most of my filters are based on dates or timestamps, does partitioning make more sense than clustering?",46d95787b3
"Can partitioning and clustering be used together, or do I need to pick only one?",46d95787b3
How do I decide between partitioning and clustering depending on my query patterns?,46d95787b3
"Why do I get the google-crc32c warning when I run the yellow data load script, and do I need to fix it?",b72ed00c7b
My parquet upload to GCS keeps timing out after 120 seconds — how can I make it wait longer?,b72ed00c7b
What does the message about the C extension not being imported actually mean in this upload script?,b72ed00c7b
Is there a way to speed up the Google Cloud Storage upload so it doesn't fail on the yellow_tripdata files?,b72ed00c7b
How do I install the optimized google-crc32c version and change the upload timeout in the code?,b72ed00c7b
When should I use source() instead of ref() in dbt?,742e16e6bc
Can you explain the difference between ref() and source() with a simple example?,742e16e6bc
How does dbt know whether a table is an upstream source or one of my models?,742e16e6bc
"Why do people define tables in sources.yml, and what is that used for?",742e16e6bc
What does ref() do for model dependencies and run order in dbt?,742e16e6bc
Why does my dbt Cloud interface look different from the demo in Module 4?,44ff6ae3df
Is the course demo using the free dbt Cloud account or some other license?,44ff6ae3df
Do I need the Developer license to follow along with the dbt Cloud examples?,44ff6ae3df
I got a Team license in dbt Cloud for 14 days — will that match what’s shown in the lectures?,44ff6ae3df
"What dbt Cloud plan was used for the Analytics Engineering demos, and can I expect the same UI on a trial account?",44ff6ae3df
"Why am I getting ""No dbt_project.yml found at expected path"" in the cloud IDE when I open my dbt project?",df2ca336d5
"Do all entries in packages.yml need their own dbt_project.yml, or can a package be missing it?",df2ca336d5
What’s the quickest way to fix the dbt_project.yml missing error in dbt Cloud IDE?,df2ca336d5
"If I’m bringing in an existing dbt repo from Git, what’s the right way to import it into dbt Cloud?",df2ca336d5
Could this error happen because I added a dependency in packages.yml that isn’t a real dbt package?,df2ca336d5
"Why does dbt keep saying my BigQuery dataset was not found in the right location, even though the dataset exists?",c180431de3
"How do I check which BigQuery region my source table is in, and where do I set the same region in dbt Cloud?",c180431de3
"My dbt project made a dataset in the wrong region — do I need to delete it and rerun, or can I just change a setting?",c180431de3
"In dbt Cloud CI or production jobs, why does a new schema sometimes show up in US when my source data is in EU?",c180431de3
"If my source dataset is in one BigQuery region and I want the dbt output in another, is there any way to query it directly across regions?",c180431de3
Why am I getting the message that this project doesn’t have a development environment configured in dbt IDE?,29469cf158
How do I set up a development environment and add my credentials so I can use the dbt IDE?,29469cf158
What should I do when dbt Cloud says there is no development environment for this project?,29469cf158
Is there a step-by-step guide for fixing the dbt setup issue from Module 4?,29469cf158
Where can I find the instructions or video for creating the dev environment in dbt Cloud?,29469cf158
Why does dbt Cloud fail to connect to BigQuery with an access denied error about bigquery.jobs.create?,b4a5d32d6b
What IAM role do I need to give my dbt service account so it can run jobs in BigQuery?,b4a5d32d6b
How do I fix the permission error in Google Cloud when setting up dbt Cloud with BigQuery?,b4a5d32d6b
Where in GCP should I go to add the dbt service account permissions for BigQuery?,b4a5d32d6b
"Besides BigQuery Job User, which other roles should I assign to avoid problems later in the course?",b4a5d32d6b
"Why do I get a permission denied publickey error when I try to clone the course repo, and how do I fix it?",87fddc59b7
Do I need to use my fork instead of the main DataTalksClub repo for the dbt setup?,87fddc59b7
Can I just create a new repo for the dbt lessons instead of cloning the original one?,87fddc59b7
What should I do if SSH clone fails but I don’t have my keys set up yet?,87fddc59b7
Is there a way to use an HTTPS URL for this repo clone issue?,87fddc59b7
"Why do I get 'Permission denied (publickey)' when dbt Cloud tries to start the server, and how do I fix it?",32a878b1d5
My dbt Cloud server won’t start and says it can’t read from the remote repo — is this an SSH key problem?,32a878b1d5
Where exactly do I add the dbt Cloud public SSH key so the server can connect to my GitHub repo?,32a878b1d5
I’m seeing a failed start server error in dbt Cloud with publickey denied — what steps should I follow to resolve it?,32a878b1d5
Do I need to use the deploy key from dbt repo details or add an SSH key in GitHub for dbt Cloud to work?,32a878b1d5
I installed dbt but my terminal says command not found — what am I missing?,25f96d0b34
How do I check whether dbt is actually installed in my virtualenv?,25f96d0b34
What’s the right way to activate the zoomcamp venv before running dbt?,25f96d0b34
"If dbt isn’t inside the environment, how do I install it again properly?",25f96d0b34
"Do I need to add dbt to PATH, or is there a better fix for this error?",25f96d0b34
My dbt Cloud IDE just keeps loading forever and then says the IDE session was unable to start — what should I do?,99658f8d80
"If I get the ""Your IDE session was unable to start"" error in dbt Cloud, is there a fix I can try myself?",99658f8d80
Do I need to create an SSH key if dbt Cloud won’t open the IDE session?,99658f8d80
What’s the correct way to import the repo into the dbt project when the IDE startup fails?,99658f8d80
Where do I put the deploy key after cloning the repo for dbt Cloud setup?,99658f8d80
"Why does DBT/BigQuery keep giving me weird column types when I load CSV into Parquet, and how do I stop Python from guessing wrong?",e8fe39dd54
"In the web_to_gcp.py pipeline, where exactly should I define the schema so the datatypes come out right?",e8fe39dd54
I’m converting CSV to Parquet and the first rows seem to decide the types — is there a way to force the columns instead of letting Python pick?,e8fe39dd54
"Can I use Sebastian’s adapted web_to_gcs.py script for gz files, and what changes do I need to make for it to work?",e8fe39dd54
"When I download gz tripdata files in the pipeline, how do I avoid filling up disk space and leaving old files behind?",e8fe39dd54
I’m getting Access Denied when the script tries to pull taxi trip data from the S3 link. Is there another way to get the files into GCS?,6435e27634
"If the nyc-tlc S3 URL is blocked for me, what’s the quickest workaround to download the trip data manually?",6435e27634
How can I use GitHub CLI to fetch the yellow and green trip data instead of relying on the S3 bucket?,6435e27634
What commands should I run with gh to download the needed dataset releases for the project?,6435e27634
"After downloading the trip files with GitHub CLI, what’s the easiest way to get them into my GCS bucket?",6435e27634
Is there a faster way to load the yellow trip data for 2019 and 2020 into GCS and BigQuery?,28f6392ce5
"I tried uploading the Parquet files directly to GCS, but BigQuery complains about schema mismatch — what am I missing?",28f6392ce5
"The web_to_gcs script is taking forever for yellow taxi data, is there another workaround for Week 4?",28f6392ce5
Where can I find the hack Victoria suggested for loading yellow and green trip data to BigQuery?,28f6392ce5
"Do I need to change the schema somewhere when loading the 2019 and 2020 trip data, or can I just use the files as-is?",28f6392ce5
Why am I getting a warning or error about dbt_utils.surrogate_key in dbt-utils 1.0+?,e596dc3cbe
What should I use instead of dbt_utils.surrogate_key now?,e596dc3cbe
Do I need to change the arguments when replacing surrogate_key with generate_surrogate_key?,e596dc3cbe
Where in the course files is this old surrogate_key macro usually used?,e596dc3cbe
How do I update old dbt code that still calls dbt_utils.surrogate_key?,e596dc3cbe
Why is dbt in BigQuery saying access denied when it tries to read external tables from GCS?,78e4da8fa6
What IAM roles does the dbt service account need to run queries and write datasets in BigQuery?,78e4da8fa6
Do I need any Cloud Storage permissions too if my dbt models use GCS-backed external tables?,78e4da8fa6
"What’s the difference between BigQuery Data Editor, BigQuery Job User, and Storage Object Viewer for this setup?",78e4da8fa6
"After I fix the service account permissions, do I need to restart dbt or upload the key again in dbt Cloud?",78e4da8fa6
How do I fix the dbt_utils not found error in dbt?,95b01285f5
Do I need a packages.yml file before running dbt deps for dbt_utils?,95b01285f5
Where should I add dbt-labs/dbt_utils so dbt can find it?,95b01285f5
What command should I run after adding the dbt_utils package?,95b01285f5
"If dbt says dbt_utils is missing, what are the exact steps to install it?",95b01285f5
"Why does dbt lineage show as unavailable, and what should I check first?",d4ec58fd16
Could this be caused by a YAML formatting issue in my dbt project?,d4ec58fd16
Where can I look to see if the run actually finished successfully?,d4ec58fd16
How do I open the build logs or stage logs to find the error message?,d4ec58fd16
"In the command history console with the --vars flag, how do I expand a stage and read warnings or failures?",d4ec58fd16
Why does my fact_trips table only have a few days of data after dbt build?,55fac499b0
How do I run dbt so Fact_trips includes all records and not just a small date range?,55fac499b0
Is there a flag I need to change because my build is only loading a couple of days into fact_trips?,55fac499b0
What command should I use to stop dbt from doing a test run and missing most of the trip data?,55fac499b0
"If dbt run or dbt build is giving me partial Fact_trips data, what exactly should I pass in the vars?",55fac499b0
"Why does my fact_trips table end up with only one month loaded, even though my flow loops through all months?",9cce7ad112
"When I write each monthly file from GCS to BigQuery, should I use replace or append so the table keeps all months?",9cce7ad112
"I ran the automation for 2019 and 2020, but BigQuery only shows the latest month — what setting am I missing?",9cce7ad112
"What happens if I use if_exists=""replace"" while loading monthly green and yellow data into BigQuery?",9cce7ad112
How should I configure the write step so my fact_trips table contains data from every month instead of just one?,9cce7ad112
Why do I get an error in BigQuery when running the dm_monthly_zone_revenue.sql model?,5a1a61b6a8
What should I change after the second SELECT in dm_monthly_zone_revenue.sql to fix the BigQuery issue?,5a1a61b6a8
How do I write date_trunc correctly for revenue_month in BigQuery without getting the month error?,5a1a61b6a8
Is month supposed to be in quotes in the date_trunc line for the monthly revenue model?,5a1a61b6a8
What’s the correct way to set revenue_month with pickup_datetime in BigQuery?,5a1a61b6a8
"I ran dbt run without passing the variable and got a table with 100 rows. Then I reran it with the variable set, but BigQuery still shows 100 rows. What should I do to get the full data loaded?",3cc457b0de
Why does my dbt model in BigQuery keep showing the old row count even after I rerun it with the correct variable value?,3cc457b0de
"After changing the variable and running dbt again, my BigQuery table didn’t update. Is there something I need to delete or reset first?",3cc457b0de
"In dbt, what’s the fix if the table created in BigQuery has only part of the rows because the first run used the wrong variable?",3cc457b0de
Do I need to remove the BigQuery dataset or table created by dbt before rerunning with the right variable so I can get all rows?,3cc457b0de
Why do we even need a staging layer in dbt if we already have raw data and final tables?,a31defac51
"What is the point of the staging dataset in this project, and what does it do between raw and production tables?",a31defac51
"Should staging models be stored as tables or views in dbt, and why?",a31defac51
"In the dbt project, do we actually work on the staging dataset, or is it just used behind the scenes?",a31defac51
How does staging help make raw data more usable before building fact and dimension tables?,a31defac51
Why does dbt docs say it’s served but I still can’t open it in my browser?,53afe4bee2
"I ran dbt docs serve and it looks like it’s running, but the page won’t load on localhost — what should I check in docker-compose?",53afe4bee2
"My dbt documentation is served inside Docker but not reachable from the browser, could the network setting be the problem?",53afe4bee2
How do I fix dbt docs not being accessible in the browser after serving it with Docker?,53afe4bee2
Is there something in docker-compose I should remove if dbt docs is served but the browser can’t access it?,53afe4bee2
"Why is my main branch in dbt Cloud or the dbt VS Code extension locked, and how am I supposed to edit anything?",f0ad880ffb
What’s the right way to start working on dbt changes if the default branch is read-only?,f0ad880ffb
"In dbt Cloud, where do I create a new branch before making edits?",f0ad880ffb
"Can I use git locally to work around the read-only main branch, and what commands should I use?",f0ad880ffb
"After I commit and push my dbt branch, how do I get those changes back into main?",f0ad880ffb
"Why can’t I turn on ""Run on Pull Requests"" in dbt Cloud, even though my repo is already connected?",3d51ece7b9
"Do I need a specific dbt Cloud plan for CI jobs, or does the Developer plan support PR checks too?",3d51ece7b9
How do I switch my dbt Cloud project from a Git Clone setup to the native GitHub integration so CI works?,3d51ece7b9
"My CI job starts but fails with ""valid dbt project was not found"" — what should I check first?",3d51ece7b9
"If my dbt project is inside a repo subfolder, where do I set that path so dbt Cloud can find it during CI?",3d51ece7b9
"Why am I getting a compilation error saying my staging model depends on a source that was not found in dbt, and how do I fix the lineage graph not showing up?",c37b2ed3a5
"In the first dbt models lesson, the Lineage graph disappears and I see a missing source error for `staging.green_trip_external` — is there a quick fix?",c37b2ed3a5
What should I do if `stg_green_tripdata` throws a Compilation Error because dbt can't find the `staging.green_trip_external` source?,c37b2ed3a5
"During the 4.3.1 dbt video, the Lineage graph won’t render at around 14:25 and dbt says a source is missing — what am I supposed to save or change?",c37b2ed3a5
How do I resolve the error about `model.my_new_project.stg_green_tripdata` depending on an unfound source in the staging schema?,c37b2ed3a5
"Why am I getting a compilation error in the accepted_values test for stg_green_tripdata payment_type, saying 'NoneType' object is not iterable?",8bfd724e4f
Where should I define payment_type_values so the accepted_values_stg_green_tripdata_Payment_type__False___var_payment_type_values_ test stops failing?,8bfd724e4f
My dbt test in models/staging/schema.yml breaks inside test_accepted_values with a NoneType iterable error — what am I missing?,8bfd724e4f
How do I fix the accepted_values generic test for payment_type in Module 4 when dbt says the variable is None?,8bfd724e4f
What variable do I need to add to dbt_project.yml to make the accepted_values test on green_tripdata payment_type work?,8bfd724e4f
Why do I get that BigQuery CASE error when I use get_payment_type_description(payment_type) from the zoomcamp repo?,89733da275
How do I fix the dbt macro so payment_type works without the No matching signature for operator CASE issue?,89733da275
Do the values in get_payment_type_description need to be strings instead of numbers?,89733da275
What should I change in the macro if payment_type is a string field in BigQuery?,89733da275
Is there a corrected version of the payment type description macro that avoids the INT64 vs STRING error?,89733da275
"In dbt troubleshooting, where can I see the actual BigQuery query that failed?",2d05496ddf
How do I find the exact line causing a dbt error in BigQuery?,2d05496ddf
What should I click in the dbt error log to inspect the failed query in BigQuery?,2d05496ddf
Is there a way to pinpoint the problematic line from a dbt error using BigQuery?,2d05496ddf
"When dbt throws an error, how can I use the BigQuery link to debug it?",2d05496ddf
Why does dbt create `dbt_marts` when I set the target schema to `marts`?,58586a16a6
How can I stop dbt from appending the target schema and keep only `marts`?,58586a16a6
"What does `generate_schema_name.sql` do in dbt, and how do I use it to override the default schema naming?",58586a16a6
Is there a way to make dbt use my custom schema as-is instead of combining it with the initial schema?,58586a16a6
"In dbt, why is the schema name built from the target schema plus my custom schema, and how can I change that behavior?",58586a16a6
